,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
0,khbr_kt,0.0,0.14993081466338912,0.0,0.0,0.0,0.0,0.0,0.0
71,katy_kt,0.0,2.99533771889538,0.0,0.0,0.0,0.0,0.0,0.0
70,kcys_kt,0.0,0.15115403276958203,0.0,0.0,0.0,0.0,0.0,0.0
69,klhx_kt,0.0,0.1449991654636521,0.0,0.0,0.0,0.0,0.0,0.0
68,kguy_kt,0.0,0.14537376513046277,0.0,0.0,0.0,0.0,0.0,0.0
67,kien_kt,0.0,2.613421210280796,0.0,0.0,0.0,0.0,0.0,0.0
66,kfsd_kt,0.0,3.458899023369518,0.0,0.0,0.0,0.0,0.0,0.0
65,kmkc_kt,0.0,2.2808859453318413,0.0,0.0,0.0,0.0,0.0,0.0
64,ktqe_kt,0.0,3.1608438226925633,0.0,0.0,0.0,0.0,0.0,0.0
63,kcos_kt,0.0,3.7986675015668045,0.0,0.0,0.0,0.0,0.0,0.0
62,ktor_kt,0.0,0.1409170779191399,0.0,0.0,0.0,0.0,0.0,0.0
61,kdal_kt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,kiml_kt,0.0,3.6342671468138135,0.0,0.0,0.0,0.0,0.0,0.0
59,kpnc_kt,0.0,3.0309431576323695,0.0,0.0,0.0,0.0,0.0,0.0
58,kmwl_kt,0.0,2.716331352220717,0.0,0.0,0.0,0.0,0.0,0.0
57,kxna_kt,0.0,3.0361509289691906,0.0,0.0,0.0,0.0,0.0,0.0
56,kn60_kt,0.0,2.836756612084039,0.0,0.0,0.0,0.0,0.0,0.0
55,kspd_kt,0.0,0.1321662386103985,0.0,0.0,0.0,0.0,0.0,0.0
54,klxt_kt,0.0,0.14374318446809628,0.0,0.0,0.0,0.0,0.0,0.0
53,kspw_kt,0.0,0.14589517437028604,0.0,0.0,0.0,0.0,0.0,0.0
52,kojc_kt,0.0,0.13844715401225546,0.0,0.0,0.0,0.0,0.0,0.0
51,krbd_kt,0.0,0.1488917799359655,0.0,0.0,0.0,0.0,0.0,0.0
72,kemp_kt,0.0,0.14662603605549074,0.0,0.0,0.0,0.0,0.0,0.0
50,ksps_kt,0.0,0.14204520713978158,0.0,0.0,0.0,0.0,0.0,0.0
73,kest_kt,0.0,0.15130320538120384,0.0,0.0,0.0,0.0,0.0,0.0
76,kama_kt,0.0,0.14610883721200313,0.0,0.0,0.0,0.0,0.0,0.0
97,feature_learning_8,0.0,0.40093714695919846,0.0,0.0,0.0,0.0,0.0,0.0
96,feature_learning_7,0.0,0.4301417520462944,0.0,0.0,0.0,0.0,0.0,0.0
95,feature_learning_6,0.0,0.3779042164957895,0.0,0.0,0.0,0.0,0.0,0.0
94,feature_learning_5,0.0,0.30240327530692673,0.0,0.0,0.0,0.0,0.0,0.0
93,feature_learning_4,0.0,0.28717696761080785,0.0,0.0,0.0,0.0,0.0,0.0
92,feature_learning_3,0.0,0.35712535907638315,0.0,0.0,0.0,0.0,0.0,0.0
91,feature_learning_2,0.0,0.28878716218562733,0.0,0.0,0.0,0.0,0.0,0.0
90,feature_learning_1,0.0,0.35570565920549496,0.0,0.0,0.0,0.0,0.0,0.0
89,kcdr_kt,0.0,3.197519629267633,0.0,0.0,0.0,0.0,0.0,0.0
88,kd07_kt,0.0,0.1463838785558281,0.0,0.0,0.0,0.0,0.0,0.0
87,klnk_kt,0.0,3.1964725091427275,0.0,0.0,0.0,0.0,0.0,0.0
86,ktyr_kt,0.0,2.4723752603595877,0.0,0.0,0.0,0.0,0.0,0.0
85,ktul_kt,0.0,0.15120950885547788,0.0,0.0,0.0,0.0,0.0,0.0
84,kbhk_kt,0.0,3.4740225530578503,0.0,0.0,0.0,0.0,0.0,0.0
83,krsl_kt,0.0,0.14196243584131454,0.0,0.0,0.0,0.0,0.0,0.0
82,kcds_kt,0.0,0.14208181924759805,0.0,0.0,0.0,0.0,0.0,0.0
81,kodx_kt,0.0,3.6589087509272535,0.0,0.0,0.0,0.0,0.0,0.0
80,kmck_kt,0.0,3.7738906129673078,0.0,0.0,0.0,0.0,0.0,0.0
79,kict_kt,0.0,0.14334520125301897,0.0,0.0,0.0,0.0,0.0,0.0
78,klbb_kt,0.0,0.14241164883898863,0.0,0.0,0.0,0.0,0.0,0.0
77,kmlc_kt,0.0,2.5981665742065707,0.0,0.0,0.0,0.0,0.0,0.0
75,kdto_kt,0.0,0.15049227168511412,0.0,0.0,0.0,0.0,0.0,0.0
98,feature_learning_9,0.0,0.34648413975330966,0.0,0.0,0.0,0.0,0.0,0.0
49,kcnu_kt,0.0,0.14568723506825138,0.0,0.0,0.0,0.0,0.0,0.0
99,feature_learning_10,0.0,0.40562269465464507,0.0,0.0,0.0,0.0,0.0,0.0
48,kmbg_kt,0.0,3.0876744515472914,0.0,0.0,0.0,0.0,0.0,0.0
3,kafw_kt,0.0,3.160932694938194,0.0,0.0,0.0,0.0,0.0,0.0
22,k2wx_kt,0.0,0.15398186047976795,0.0,0.0,0.0,0.0,0.0,0.0
21,k8d3_kt,0.0,2.9722900109387655,0.0,0.0,0.0,0.0,0.0,0.0
20,kaao_kt,0.0,0.14761955247935027,0.0,0.0,0.0,0.0,0.0,0.0
19,kdgw_kt,0.0,3.687425309078669,0.0,0.0,0.0,0.0,0.0,0.0
18,kfar_kt,0.0,2.562907907164801,0.0,0.0,0.0,0.0,0.0,0.0
17,kisn_kt,0.0,2.487798771515962,0.0,0.0,0.0,0.0,0.0,0.0
2,klit_kt,0.0,2.4334385236992535,0.0,0.0,0.0,0.0,0.0,0.0
16,kgag_kt,0.0,3.7903463852584007,0.0,0.0,0.0,0.0,0.0,0.0
14,kcnm_kt,0.0,0.14765953190595482,0.0,0.0,0.0,0.0,0.0,0.0
13,kdeq_kt,0.0,2.0349454672955343,0.0,0.0,0.0,0.0,0.0,0.0
12,kmhk_kt,0.0,2.564848521534123,0.0,0.0,0.0,0.0,0.0,0.0
11,krvs_kt,0.0,2.4369702138531424,0.0,0.0,0.0,0.0,0.0,0.0
10,kppf_kt,0.0,2.7295022377616296,0.0,0.0,0.0,0.0,0.0,0.0
9,khsi_kt,0.0,0.1424200480768159,0.0,0.0,0.0,0.0,0.0,0.0
8,kstc_kt,0.0,2.5393136967472114,0.0,0.0,0.0,0.0,0.0,0.0
7,klar_kt,0.0,0.15467893568633942,0.0,0.0,0.0,0.0,0.0,0.0
15,krtn_kt,0.0,0.14512540527816253,0.0,0.0,0.0,0.0,0.0,0.0
1,kwld_kt,0.0,3.8024906241829823,0.0,0.0,0.0,0.0,0.0,0.0
26,kjln_kt,0.0,2.9845302325940857,0.0,0.0,0.0,0.0,0.0,0.0
27,kpwa_kt,0.0,0.14689435006460444,0.0,0.0,0.0,0.0,0.0,0.0
46,kmci_kt,0.0,0.14283948360339768,0.0,0.0,0.0,0.0,0.0,0.0
45,kpub_kt,0.0,3.8943213969172534,0.0,0.0,0.0,0.0,0.0,0.0
44,kcnk_kt,0.0,0.1489911543175731,0.0,0.0,0.0,0.0,0.0,0.0
43,kgok_kt,0.0,3.15181384564875,0.0,0.0,0.0,0.0,0.0,0.0
42,khlc_kt,0.0,3.8145295163779456,0.0,0.0,0.0,0.0,0.0,0.0
41,kgfk_kt,0.0,0.1468205332515067,0.0,0.0,0.0,0.0,0.0,0.0
40,kaxn_kt,0.0,2.5050091705720647,0.0,0.0,0.0,0.0,0.0,0.0
39,kicr_kt,0.0,0.14831048627009485,0.0,0.0,0.0,0.0,0.0,0.0
38,kako_kt,0.0,0.14709216570888087,0.0,0.0,0.0,0.0,0.0,0.0
37,kphp_kt,0.0,3.040268577715887,0.0,0.0,0.0,0.0,0.0,0.0
36,krap_kt,0.0,3.403996955500757,0.0,0.0,0.0,0.0,0.0,0.0
35,kbde_kt,0.0,2.154215205676556,0.0,0.0,0.0,0.0,0.0,0.0
34,kbis_kt,0.0,2.6866661418875264,0.0,0.0,0.0,0.0,0.0,0.0
33,kabi_kt,0.0,0.1490889469985926,0.0,0.0,0.0,0.0,0.0,0.0
32,kbvo_kt,0.0,2.5708357549665033,0.0,0.0,0.0,0.0,0.0,0.0
31,ktxk_kt,0.0,2.2405204171626423,0.0,0.0,0.0,0.0,0.0,0.0
30,kmko_kt,0.0,0.1516818876641138,0.0,0.0,0.0,0.0,0.0,0.0
29,kfyv_kt,0.0,2.8015589527114106,0.0,0.0,0.0,0.0,0.0,0.0
28,kmot_kt,0.0,2.68391826403378,0.0,0.0,0.0,0.0,0.0,0.0
6,ktad_kt,0.0,3.4384621879694333,0.0,0.0,0.0,0.0,0.0,0.0
4,kcrs_kt,0.0,0.14861510244012835,0.0,0.0,0.0,0.0,0.0,0.0
74,ktki_kt,0.06224514200268376,3.044259355259899,0.0007358139107244289,-0.00017779394946916064,0.0007358139107244289,0.00017779394946916064,0.0,0.0
25,kfsm_kt,0.07785360380170216,2.3961662266559998,-0.0001490238460773827,0.0001490238460773827,0.0001490238460773827,0.0001490238460773827,0.0,0.0
23,khon_kt,0.12998323543934906,3.199964820325477,0.0,0.0,0.0,0.0,0.0,0.0
5,kstj_kt,0.13424844232023667,2.8132058028002493,-0.0002962555541537994,0.0008887666624613982,0.0002962555541537994,0.0008887666624613982,0.0,0.0
47,ksux_kt,0.25126597099523557,3.093603428831206,-0.0015286045565904775,0.006356762986391371,0.00182518985315251,0.006357092728799603,0.0,0.0
24,kals_kt,0.34440360544079296,3.847390315357321,0.0037012374177174097,-0.0013311929844870146,0.0037051514361275744,0.0013351070028971798,0.0,0.0
